warehouseName,itemName,sku,size,color,barcode,closingStock,reserved,damaged,inTransit
REBEL MASS EXPORT PVT LTD,AW24SS0018-0005233 ANTRA,0005233-XL,XL,,0005233-XL,70,0,0,0
REBEL MASS EXPORT PVT LTD,CSH25-0065 KHAKI,DA2391-L,L,,DA2391-L,70,0,0,0
REBEL MASS EXPORT PVT LTD,FSH25-0002-0006919 LEMON,0006919-XL,XL,,0006919-XL,70,0,0,0
REBEL MASS EXPORT PVT LTD,FSH25-0005-0007006 PURPLE,0007006-L,L,,0007006-L,70,0,0,0
REBEL MASS EXPORT PVT LTD,FSH25-0026 SKY BLUE,DA0582-L,L,,DA0582-L,69,0,0,0
REBEL MASS EXPORT PVT LTD,CSH25-0105 TEAL,DA2744-L,L,,DA2744-L,68,0,0,0
REBEL MASS EXPORT PVT LTD,CSH25-0105 TEAL,DA2745-XL,XL,,DA2745-XL,68,0,0,0
REBEL MASS EXPORT PVT LTD,AW24SS0011-0004137 MUSTARD,0004137-XL,XL,,0004137-XL,68,0,0,0
REBEL MASS EXPORT PVT LTD,AW24SS0017-0005229 B.MELANGE,0005229-XL,XL,,0005229-XL,68,0,0,0
REBEL MASS EXPORT PVT LTD,AW24TK0001-0005129 B.MELANGE,0005129-L,L,,0005129-L,68,0,0,0
REBEL MASS EXPORT PVT LTD,CSH25-0065 KHAKI,DA2392-XL,XL,,DA2392-XL,68,0,0,0
REBEL MASS EXPORT PVT LTD,FSH25-0026 SKY BLUE,DA0583-XL,XL,,DA0583-XL,68,0,0,0
REBEL MASS EXPORT PVT LTD,FSH25-0033 SKY BLUE,DA0611-XL,XL,,DA0611-XL,68,0,0,0
REBEL MASS EXPORT PVT LTD,TS26-0008 GREEN/WHITE,BM0090-L,L,,BM0090-L,67,0,0,0
REBEL MASS EXPORT PVT LTD,AW24SS0003-0003738 MUSTARD.,0003738-XL,XL,,0003738-XL,67,0,0,0
REBEL MASS EXPORT PVT LTD,DNM25-34-0012 GREY/BLK,DA1264-71.12CM(28),71.12CM (28),,DA1264-71.12CM(28),67,0,0,0
REBEL MASS EXPORT PVT LTD,FSH25-0006-0007023 GREEN,0007023-XL,XL,,0007023-XL,67,0,0,0
REBEL MASS EXPORT PVT LTD,FSH25-0033 SKY BLUE,DA0610-L,L,,DA0610-L,67,0,0,0
REBEL MASS EXPORT PVT LTD,FSH25-0035 SKY BLUE,DA0619-XL,XL,,DA0619-XL,67,0,0,0
REBEL MASS EXPORT PVT LTD,TS25-0046 OLIVE,DA2148-L,L,,DA2148-L,67,0,0,1
REBEL MASS EXPORT PVT LTD,TS25-0012 SKY,DA2120-L,L,,DA2120-L,66,0,0,0
REBEL MASS EXPORT PVT LTD,AW24SS0016-0005040 BLUE,0005040-XL,XL,,0005040-XL,66,0,0,0
REBEL MASS EXPORT PVT LTD,AW24SS0026-0007102 B.MELANGE,0007102-L,L,,0007102-L,66,0,0,0
REBEL MASS EXPORT PVT LTD,DNM25-0018 WHIITE,DA2161-81.28CM(32),81.28CM (32),,DA2161-81.28CM(32),66,0,0,0
REBEL MASS EXPORT PVT LTD,FSH25-0001-0006847 GREY,0006847-XL,XL,,0006847-XL,66,0,0,0
REBEL MASS EXPORT PVT LTD,FSH25-0035 SKY BLUE,DA0618-L,L,,DA0618-L,66,0,0,0
REBEL MASS EXPORT PVT LTD,AW24SS0003-0003737 MUSTARD.,0003737-L,L,,0003737-L,65,0,0,0
REBEL MASS EXPORT PVT LTD,AW24SS0004-0003741 BLACK,0003741-L,L,,0003741-L,65,0,0,0
REBEL MASS EXPORT PVT LTD,AW24SS0006-0003750 BLACK,0003750-XL,XL,,0003750-XL,65,0,0,0
REBEL MASS EXPORT PVT LTD,AW24SS0012-0004141 BEIGE,0004141-XL,XL,,0004141-XL,65,0,0,0
REBEL MASS EXPORT PVT LTD,AW24SS0026-0007103 B.MELANGE,0007103-XL,XL,,0007103-XL,65,0,0,0
REBEL MASS EXPORT PVT LTD,DNM25-0018 WHIITE,DA2162-86.36CM(34),86.36CM (34),,DA2162-86.36CM(34),65,0,0,0
REBEL MASS EXPORT PVT LTD,DNM25-34-0012 GREY/BLK,DA1269-96.52CM(38),96.52CM (38),,DA1269-96.52CM(38),65,0,0,0
REBEL MASS EXPORT PVT LTD,FSH25-0001-0006830 GOLDEN,0006830-L,L,,0006830-L,65,0,0,0
REBEL MASS EXPORT PVT LTD,LW26-0004 KHAKI,DA4071-L,L,,DA4071-L,64,0,0,0
REBEL MASS EXPORT PVT LTD,AW24D0004-0003505 CARBON,0003505-71.12CM(28),71.12CM (28),,0003505-71.12CM(28),64,0,0,0
REBEL MASS EXPORT PVT LTD,AW24SS0004-0003742 BLACK,0003742-XL,XL,,0003742-XL,64,0,0,0
REBEL MASS EXPORT PVT LTD,FSH25-0030 SKY BLUE,DA0598-L,L,,DA0598-L,64,0,0,0
REBEL MASS EXPORT PVT LTD,FSH25-0030 SKY BLUE,DA0599-XL,XL,,DA0599-XL,64,0,0,0
REBEL MASS EXPORT PVT LTD,FSH25-0032 SKY BLUE,DA0606-L,L,,DA0606-L,64,0,0,0
REBEL MASS EXPORT PVT LTD,FSH25-0034 SKY BLUE,DA0614-L,L,,DA0614-L,64,0,0,0
REBEL MASS EXPORT PVT LTD,FSH25-0034 SKY BLUE,DA0615-XL,XL,,DA0615-XL,64,0,0,0
REBEL MASS EXPORT PVT LTD,ASR26-T SHIRT N/A,BM0254-XXL,XXL,,BM0254-XXL,63,0,0,0
REBEL MASS EXPORT PVT LTD,AW24SS0016-0005035 BLACK,0005035-L,L,,0005035-L,63,0,0,0
REBEL MASS EXPORT PVT LTD,FSH25-0005-0007002 NUDE,0007002-L,L,,0007002-L,63,0,0,0
REBEL MASS EXPORT PVT LTD,FSH25-0029 SKY BLUE,DA0594-L,L,,DA0594-L,63,0,0,0
REBEL MASS EXPORT PVT LTD,FSH25-0029 SKY BLUE,DA0595-XL,XL,,DA0595-XL,63,0,0,0
REBEL MASS EXPORT PVT LTD,FSH25-0032 SKY BLUE,DA0607-XL,XL,,DA0607-XL,63,0,0,0
REBEL MASS EXPORT PVT LTD,DNM26-0008 LIGHT WASH,BM0107-81.28CM(32),81.28CM (32),,BM0107-81.28CM(32),62,0,0,0
REBEL MASS EXPORT PVT LTD,FSH25-0062 D.PINK,DA2286-L,L,,DA2286-L,62,0,0,0
