storeName,itemName,sku,size,color,barcode,closingStock,inTransit,damaged,sold,returned,rate,value
REBEL MASS EXPORT PVT. LTD. (MUKTSAR SAHIB),CSH25-39-0019-0008175 MAHROON,0008175-L,L,,0008175,3,0,0,0,0,0,0
REBEL MASS EXPORT PVT. LTD. (MUKTSAR SAHIB),CSH25-39-0019-0008177 MAHROON,0008177-XXL,XXL,,0008177,3,0,0,0,0,0,0
REBEL MASS EXPORT PVT. LTD. (MUKTSAR SAHIB),CSH25-39-0020-0008180 BLUE,0008180-XL,XL,,0008180,3,0,0,0,0,0,0
REBEL MASS EXPORT PVT. LTD. (MUKTSAR SAHIB),CSH25-39-0036-0008255 BROWN,0008255-L,L,,0008255,3,0,0,0,0,0,0
REBEL MASS EXPORT PVT. LTD. (MUKTSAR SAHIB),DNM25-34-0015 DARK GREY,DA1329-91.44CM(36),91.44CM (36),,DA1329,3,0,0,0,0,0,0
REBEL MASS EXPORT PVT. LTD. (MUKTSAR SAHIB),FSH25-0042 MAROON,DA1819-L,L,,DA1819,3,0,0,0,0,0,0
REBEL MASS EXPORT PVT. LTD. (MUKTSAR SAHIB),FSH25-0042 NAVY,DA1815-L,L,,DA1815,3,0,0,0,0,0,0
REBEL MASS EXPORT PVT. LTD. (MUKTSAR SAHIB),FSH25-0042 NAVY,DA1816-XL,XL,,DA1816,3,0,0,0,0,0,0
REBEL MASS EXPORT PVT. LTD. (MUKTSAR SAHIB),FSH25-39-0019-0007991 GREEN,0007991-XL,XL,,0007991,3,0,0,0,0,0,0
REBEL MASS EXPORT PVT. LTD. (MUKTSAR SAHIB),FTR25-0001-0006741 CHARCOAL,0006741-81.28CM(32),81.28CM (32),,0006741,3,0,0,0,0,0,0
REBEL MASS EXPORT PVT. LTD. (MUKTSAR SAHIB),MFSHT0030-0001193 DARK GREY,0001193-XL,XL,,0001193,3,0,0,0,0,0,0
REBEL MASS EXPORT PVT. LTD. (MUKTSAR SAHIB),SHORT25-0002 GREY,DA1921-M,M,,DA1921,3,0,0,0,0,0,0
REBEL MASS EXPORT PVT. LTD. (MUKTSAR SAHIB),SS25-0009 BLACK,DA1356-L,L,,DA1356,3,0,0,0,0,0,0
REBEL MASS EXPORT PVT. LTD. (MUKTSAR SAHIB),TS25-0005 GREEN,DA0882-L,L,,DA0882,3,0,0,0,0,0,0
REBEL MASS EXPORT PVT. LTD. (MUKTSAR SAHIB),TS25-0012 BLACK,DA1003-L,L,,DA1003,3,0,0,0,0,0,0
REBEL MASS EXPORT PVT. LTD. (MUKTSAR SAHIB),TS25-0012 GREEN,DA1007-L,L,,DA1007,3,0,0,0,0,0,0
REBEL MASS EXPORT PVT. LTD. (MUKTSAR SAHIB),TS25-0017 TEAL,DA1644-XL,XL,,DA1644,3,0,0,0,0,0,0
REBEL MASS EXPORT PVT. LTD. (MUKTSAR SAHIB),TS25-0018 FAWN,DA1647-L,L,,DA1647,3,0,0,0,0,0,0
REBEL MASS EXPORT PVT. LTD. (MUKTSAR SAHIB),TS25-0019 KHAKI/BLK,DA1651-L,L,,DA1651,3,0,0,0,0,0,0
REBEL MASS EXPORT PVT. LTD. (MUKTSAR SAHIB),TS25-0020 MAROON,DA1655-L,L,,DA1655,3,0,0,0,0,0,0
REBEL MASS EXPORT PVT. LTD. (MUKTSAR SAHIB),TS25-0043 TURMERIC,DA2133-XL,XL,,DA2133,3,0,0,0,0,0,0
REBEL MASS EXPORT PVT. LTD. (MUKTSAR SAHIB),ASR25CSH-0001 N/A,DA3047-XL,XL,,DA3047,2,0,0,0,0,0,0
REBEL MASS EXPORT PVT. LTD. (MUKTSAR SAHIB),CSH25-0063 BLACK/WHT,DA2253-L,L,,DA2253,2,0,0,0,0,0,0
REBEL MASS EXPORT PVT. LTD. (MUKTSAR SAHIB),CSH25-0086 PINK,DA2649-L,L,,DA2649,2,0,0,0,0,0,0
REBEL MASS EXPORT PVT. LTD. (MUKTSAR SAHIB),CSH25-0086 PINK,DA2650-XL,XL,,DA2650,2,0,0,0,0,0,0
REBEL MASS EXPORT PVT. LTD. (MUKTSAR SAHIB),CSH25-0103 NAVY,DA2734-L,L,,DA2734,2,0,0,0,0,0,0
REBEL MASS EXPORT PVT. LTD. (MUKTSAR SAHIB),CSH25-0103 NAVY,DA2736-XXL,XXL,,DA2736,2,0,0,0,0,0,0
REBEL MASS EXPORT PVT. LTD. (MUKTSAR SAHIB),CSH25-0105 TEAL,DA2744-L,L,,DA2744,2,0,0,0,0,0,0
REBEL MASS EXPORT PVT. LTD. (MUKTSAR SAHIB),CSH25-0107 B.GREEN,DA3190-XL,XL,,DA3190,2,0,0,0,0,0,0
REBEL MASS EXPORT PVT. LTD. (MUKTSAR SAHIB),CSH25-0107 L.GREY,DA3254-M,M,,DA3254,2,0,0,0,0,0,0
REBEL MASS EXPORT PVT. LTD. (MUKTSAR SAHIB),CSH25-0107 L.GREY,DA3253-S,S,,DA3253,2,0,0,0,0,0,0
REBEL MASS EXPORT PVT. LTD. (MUKTSAR SAHIB),CSH25-0107 L.GREY,DA3257-XXL,XXL,,DA3257,2,0,0,0,0,0,0
REBEL MASS EXPORT PVT. LTD. (MUKTSAR SAHIB),CSH25-0107 SKY,DA3209-XXL,XXL,,DA3209,2,0,0,0,0,0,0
REBEL MASS EXPORT PVT. LTD. (MUKTSAR SAHIB),CSH25-0107 WHITE,DA3201-L,L,,DA3201,2,0,0,0,0,0,0
REBEL MASS EXPORT PVT. LTD. (MUKTSAR SAHIB),CSH26-0001 GREY,DA3975-L,L,,DA3975,2,0,0,0,0,0,0
REBEL MASS EXPORT PVT. LTD. (MUKTSAR SAHIB),CSH26-0001 GREY,DA3974-M,M,,DA3974,2,0,0,0,0,0,0
REBEL MASS EXPORT PVT. LTD. (MUKTSAR SAHIB),CSH26-0002 RED,DA3987-L,L,,DA3987,2,0,0,0,0,0,0
REBEL MASS EXPORT PVT. LTD. (MUKTSAR SAHIB),CSH26-0002 RED,DA3986-M,M,,DA3986,2,0,0,0,0,0,0
REBEL MASS EXPORT PVT. LTD. (MUKTSAR SAHIB),CSS26-0001 GREY,DA3911-L,L,,DA3911,2,0,0,0,0,0,0
REBEL MASS EXPORT PVT. LTD. (MUKTSAR SAHIB),CSS26-0001 GREY,DA3912-XL,XL,,DA3912,2,0,0,0,0,0,0
REBEL MASS EXPORT PVT. LTD. (MUKTSAR SAHIB),CSS26-0001 PINK,DA3924-XL,XL,,DA3924,2,0,0,0,0,0,0
REBEL MASS EXPORT PVT. LTD. (MUKTSAR SAHIB),FSH25-0065 WHITE,DA2855-XL,XL,,DA2855,2,0,0,0,0,0,0
REBEL MASS EXPORT PVT. LTD. (MUKTSAR SAHIB),FSH25-0069 BLACK,DA2923-XL,XL,,DA2923,2,0,0,0,0,0,0
REBEL MASS EXPORT PVT. LTD. (MUKTSAR SAHIB),FSH25-0069 L.PURPLE,DA2990-XXXL,XXXL,,DA2990,2,0,0,0,0,0,0
REBEL MASS EXPORT PVT. LTD. (MUKTSAR SAHIB),FSH25-0070 BLACK,DA3142-L,L,,DA3142,2,0,0,0,0,0,0
REBEL MASS EXPORT PVT. LTD. (MUKTSAR SAHIB),FSH25-0070 BLACK,DA3141-M,M,,DA3141,2,0,0,0,0,0,0
REBEL MASS EXPORT PVT. LTD. (MUKTSAR SAHIB),FSH25-0070 BLACK,DA3143-XL,XL,,DA3143,2,0,0,0,0,0,0
REBEL MASS EXPORT PVT. LTD. (MUKTSAR SAHIB),FSH25-0070 BLACK,DA3144-XXL,XXL,,DA3144,2,0,0,0,0,0,0
